Product,Price
Precision M5520,2396.196
Inspiron 3576,657.17017
ThinkPad T470,959.9683
Aspire ES1-523,322.99902
IdeaPad 500-15ISK,803.01874
Aspire A517-51G,818.41235
ThinkPad E480,1061.0677
Chromebook X360,406.8578
Lenovo IdeaPad,289.22656
IdeaPad 320s-14IKB,822.8878
ZBook 15u,1049.9291
GP72M 7REX,1287.958
ProBook 470,906.728
Latitude 3580,622.8317
Lifebook A557,623.99524
Yoga 500-15ISK,1004.46826
Inspiron 5579,1063.3777
Aspire 3,409.61285
Aspire 7,883.9785
EliteBook x360,1438.8961
EliteBook 850,931.6373
15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),681.167
IdeaPad 320-15ABR,672.3567
Legion Y520-15IKBN,1453.7745
Thinkpad T470,1272.9879
Aspire 5,713.87177
IdeaPad 320-15AST,387.16818
Elitebook 850,1213.8107
Inspiron 5378,1067.8468
ThinkPad T570,1504.8676
ThinkPad T560,954.23157
IdeaPad 320-15ISK,620.6876
Rog G752VL-UH71T,1936.7213
Tecra Z40-C-12Z,1195.3168
Zenbook 3,1400.2585
Latitude 5480,627.84564
Pavilion X360,1010.7696
EliteBook 820,1213.2522
Inspiron 7570,928.14154
Extensa EX2540,378.90198
Thinkpad T470,892.2589
Aspire 3,348.9699
FX502VM-AS73 (i7-7700HQ/16GB/1TB,1559.7075
EliteBook 840,1451.9205
Vostro 3568,1024.9491
EliteBook 850,979.07135
EliteBook 820,696.1879
Inspiron 5368,781.07874
LifeBook A556,807.77905
Probook 450,697.33203
Latitude 5580,1441.867
Pavilion x360,704.26105
MateBook X,1076.1755
GT72VR Dominator,1747.9357
Predator 17,1498.6766
Precision 3520,2020.449
EliteBook 840,1991.6703
Inspiron 3567,387.56042
IdeaPad 320-15IKBN,850.3424
V110-15ISK (i3-6006U/4GB/1TB/No,343.01392
Thinkpad T460p,1066.0311
Aspire 5,566.46716
250 G5,340.80383
Inspiron 7567,2052.2068
Legion Y520-15IKBN,1479.0508
TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10),832.4607
Aspire ES1-531,216.38365
XPS 15,2421.2446
Inspiron 7378,1372.8971
Probook 470,1083.7574
Precision 7720,2243.7666
Thinkpad T470p,1945.1615
Legion Y520-15IKBN,1158.4786
