Product,Price
"I need an 8th but I'm off campus atm, could I pick up in an hour or two?",Non-Spam
THANX 4 PUTTIN DA FONE DOWN ON ME!!,Non-Spam
And I don't plan on staying the night but I prolly won't be back til late,Non-Spam
"Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx",Non-Spam
FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop,Non-Spam
Hi did u decide wot 2 get 4 his bday if not ill prob jus get him a voucher frm virgin or sumfing ,Non-Spam
Have you laid your airtel line to rest?,Non-Spam
I'm stuck in da middle of da row on da right hand side of da lt... ,Spam
Full heat pa:-) i have applyed oil pa.,Non-Spam
"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit",Non-Spam
Yo sorry was in the shower sup,Non-Spam
I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon,Non-Spam
It's ok i wun b angry. Msg u aft i come home tonight.,Non-Spam
Right it wasnt you who phoned it was someone with a number like yours!,Non-Spam
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX ?.50,Non-Spam
Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,Non-Spam
Have you not finished work yet or something?,Non-Spam
I wanted to wish you a Happy New Year and I wanted to talk to you about some legal advice to do with when Gary and I split but in person. I'll make a trip to Ptbo for that. I hope everything is good with you babe and I love ya :),Non-Spam
"I'll see if I can swing by in a bit, got some things to take care of here firsg",Non-Spam
"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. ?.50 increments. Help08718728876",Non-Spam
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,Spam
Noooooooo please. Last thing I need is stress. For once in your life be fair.,Non-Spam
"For ur chance to win a ?50 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",Non-Spam
Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-),Non-Spam
Not course. Only maths one day one chapter with in one month we can finish.,Non-Spam
Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.,Non-Spam
No plans yet. What are you doing ?,Non-Spam
"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",Non-Spam
"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records",Non-Spam
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,Non-Spam
Not directly behind... Abt 4 rows behind ?..,Non-Spam
:( but your not here....,Non-Spam
URGENT! This is the 2nd attempt to contact U!U have WON ?000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. max?. 50,Non-Spam
Omg how did u know what I ate?,Non-Spam
"CHA QUITEAMUZING THAT뭆COOL BABE,PROBPOP IN & CU SATTHEN HUNNY 4BREKKIE! LOVE JEN XXX. PSXTRA LRG PORTIONS 4 ME PLEASE ",Non-Spam
Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,Non-Spam
At WHAT TIME should i come tomorrow,Non-Spam
hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.,Non-Spam
But you were together so you should be thinkin about him,Non-Spam
Should i buy him a blackberry bold 2 or torch. Should i buy him new or used. Let me know. Plus are you saying i should buy the  &lt;#&gt; g wifi ipad. And what are you saying about the about the  &lt;#&gt; g?,Non-Spam
"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",Non-Spam
Tell me again what your address is,Non-Spam
"Come around  &lt;DECIMAL&gt; pm vikky..i'm otside nw, il come by tht time",Non-Spam
How much u trying to get?,Non-Spam
Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,Non-Spam
I'm awake oh. What's up.,Non-Spam
Think + da. You wil do.,Non-Spam
PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),Spam
I am in hospital da. . I will return home in evening,Non-Spam
Gettin rdy to ship comp,Non-Spam
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",Non-Spam
Try to do something dear. You read something for exams,Non-Spam
Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  ,Non-Spam
"SYMPTOMS when U are in love: ""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your",Non-Spam
Great. Have a safe trip. Dont panic surrender all.,Non-Spam
Do you hide anythiing or keeping distance from me,Non-Spam
Of course. I guess god's just got me on hold right now.,Non-Spam
Captain vijaykanth is doing comedy in captain tv..he is drunken :),Non-Spam
Oh ho. Is this the first time u use these type of words,Non-Spam
K k pa Had your lunch aha.,Non-Spam
How come i din c ?.. Yup i cut my hair...,Non-Spam
These won't do. Have to move on to morphine,Non-Spam
Oh wow thats gay. Will firmware update help,Non-Spam
"I'm in a meeting, call me later at",Non-Spam
"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?",Non-Spam
Everybody had fun this evening. Miss you.,Non-Spam
Only saturday and sunday holiday so its very difficult:),Non-Spam
"Received, understood n acted upon!",Non-Spam
THIS IS A LONG FUCKIN SHOWR,Non-Spam
"Sorry, I'll call later In meeting.",Non-Spam
Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,Non-Spam
Good. do you think you could send me some pix? I would love to see your top and bottom...,Non-Spam
?called dad oredi...,Non-Spam
Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B,Non-Spam
hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30,Non-Spam
How much you got for cleaning,Non-Spam
Sorry da. I gone mad so many pending works what to do.,Non-Spam
Wat time ?finish?,Non-Spam
Just glad to be talking to you.,Non-Spam
